train_loss,val_loss,train_accuracy,val_accuracy
3.5444766605648534,3.5118158179593375,0.14644351464435146,0.2173694779116466
1.662083761941439,1.121117396527026,0.5352301255230125,0.6546184738955824
0.8914651532352719,0.6514632208759047,0.7278661087866108,0.8172690763052208
0.5608473481094488,0.4615990055134019,0.8296234309623431,0.8629518072289156
0.40308287766189255,0.4093748439986064,0.8686192468619247,0.8755020080321285
0.33085732665520834,0.4611875913349021,0.8969037656903766,0.8549196787148594
0.2613071125820591,0.41111299210044755,0.9112970711297071,0.876004016064257
0.21612451910473812,0.39571775711444485,0.9248535564853556,0.8875502008032129
0.16809260071072119,0.4440758300114827,0.9417573221757323,0.8825301204819277
0.16152379259404778,0.39989998613495426,0.9435983263598327,0.8905622489959839
0.12690455923519373,0.4073267592842799,0.9601673640167364,0.891566265060241
0.114352889400147,0.38900946272185527,0.9605020920502092,0.9006024096385542
0.10078226390742856,0.407315398255984,0.9676987447698745,0.8945783132530121
0.0858655247428926,0.3549973274689602,0.9735564853556485,0.9086345381526104
0.08192781406466432,0.3799626787144496,0.9707112970711297,0.9011044176706827
0.07163979757779812,0.41367971861218833,0.9755648535564854,0.8995983935742972
0.06567853201383328,0.43103098217023905,0.9775732217573222,0.9026104417670683
0.052794744878633254,0.4259896293940793,0.9842677824267783,0.9086345381526104
0.05282261916284282,0.43669879448461724,0.9841004184100418,0.9021084337349398
0.049384479243386244,0.4717476487040041,0.9841004184100418,0.892570281124498
0.04534353914619989,0.41764701699396695,0.9852719665271966,0.9106425702811245
0.039539608237134864,0.4439212426722768,0.9872803347280334,0.9021084337349398
0.036649387910276277,0.4262660015898057,0.9894560669456067,0.9121485943775101
0.03153643320793886,0.40050225923339045,0.9916317991631799,0.9181726907630522
